Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Max,Min,If,if,ifs
10/10/2013,10,October,2013,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",3,42,54,0,126,126,,,,,
10/10/2015,10,October,2015,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",2,42,54,0,84,84,,,,,
10/28/2015,28,October,2015,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",2,42,54,0,84,84,,,,,
6/11/2014,11,June,2014,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",3,42,54,0,126,126,,,,,
6/11/2016,11,June,2016,28,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,0,42,42,,,,,
10/23/2013,23,October,2013,27,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",1,42,54,0,42,42,,,,,
10/23/2015,23,October,2015,27,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",1,42,54,0,42,42,,,,,
6/6/2014,6,June,2014,27,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",4,42,54,0,168,168,,,,,
6/6/2016,6,June,2016,27,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, L",1,42,54,0,42,42,,,,,
12/17/2013,17,December,2013,25,Young Adults (25-34),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,0,126,126,,,,,
12/17/2015,17,December,2015,25,Young Adults (25-34),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",4,42,54,0,168,168,,,,,
6/9/2014,9,June,2014,25,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",3,42,54,0,126,126,,,,,
6/9/2016,9,June,2016,25,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,0,42,42,,,,,
6/21/2014,21,June,2014,25,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",4,42,54,0,168,168,,,,,
6/21/2016,21,June,2016,25,Young Adults (25-34),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",3,42,54,0,126,126,,,,,
4/4/2014,4,April,2014,23,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",2,42,54,0,84,84,,,,,
4/4/2016,4,April,2016,23,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, S",1,42,54,0,42,42,,,,,
12/21/2013,21,December,2013,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,0,126,126,,,,,
12/21/2015,21,December,2015,22,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",2,42,54,0,84,84,,,,,
11/5/2013,5,November,2013,19,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",3,42,54,0,126,126,,,,,
11/5/2015,5,November,2015,19,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,0,42,42,,,,,
8/6/2013,6,August,2013,17,Youth (<25),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",1,42,54,0,42,42,,,,,
8/6/2015,6,August,2015,17,Youth (<25),M,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, XL",2,42,54,0,84,84,,,,,
3/10/2014,10,March,2014,17,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",2,42,54,0,84,84,,,,,
3/10/2016,10,March,2016,17,Youth (<25),F,United States,Washington,Clothing,Jerseys,"Short-Sleeve Classic Jersey, M",1,42,54,0,42,42,,,,,
8/18/2013,18,August,2013,75,Seniors (64+),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",19,38,50,0,722,722,,,,,
8/18/2015,18,August,2015,75,Seniors (64+),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",16,38,50,0,608,608,,,,,
12/9/2013,9,December,2013,46,Adults (35-64),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",14,38,50,0,532,532,,,,,
12/9/2015,9,December,2015,46,Adults (35-64),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",14,38,50,0,532,532,,,,,
12/7/2013,7,December,2013,40,Adults (35-64),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",9,38,50,0,342,342,,,,,
12/7/2015,7,December,2015,40,Adults (35-64),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",6,38,50,0,228,228,,,,,
11/22/2013,22,November,2013,34,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",10,38,50,0,380,380,,,,,
11/22/2015,22,November,2015,34,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",10,38,50,0,380,380,,,,,
7/13/2014,13,July,2014,33,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",7,38,50,0,266,266,,,,,
7/13/2016,13,July,2016,33,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",7,38,50,0,266,266,,,,,
4/3/2014,3,April,2014,33,Young Adults (25-34),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",24,38,50,0,912,912,,,,,
4/3/2016,3,April,2016,33,Young Adults (25-34),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",23,38,50,0,874,874,,,,,
4/1/2014,1,April,2014,31,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",17,38,50,0,646,646,,,,,
4/1/2016,1,April,2016,31,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, L",15,38,50,0,570,570,,,,,
2/19/2014,19,February,2014,29,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",29,38,50,0,1102,1102,,,,,
2/19/2016,19,February,2016,29,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, S",28,38,50,0,1064,1064,,,,,
9/10/2013,10,September,2013,26,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",6,38,50,0,228,228,,,,,
9/10/2015,10,September,2015,26,Young Adults (25-34),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",7,38,50,0,266,266,,,,,
9/16/2013,16,September,2013,25,Young Adults (25-34),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",7,38,50,0,266,266,,,,,
9/16/2015,16,September,2015,25,Young Adults (25-34),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",6,38,50,0,228,228,,,,,
11/18/2013,18,November,2013,24,Youth (<25),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",28,38,50,0,1064,1064,,,,,
11/18/2015,18,November,2015,24,Youth (<25),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, XL",26,38,50,0,988,988,,,,,
9/21/2013,21,September,2013,22,Youth (<25),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",4,38,50,0,152,152,,,,,
9/21/2015,21,September,2015,22,Youth (<25),M,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",2,38,50,0,76,76,,,,,
1/26/2014,26,January,2014,18,Youth (<25),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",20,38,50,0,760,760,,,,,
1/26/2016,26,January,2016,18,Youth (<25),F,France,Yveline,Clothing,Jerseys,"Long-Sleeve Logo Jersey, M",17,38,50,0,646,646,,,,,
8/4/2013,4,August,2013,68,Seniors (64+),M,United States,Washington,Clothing,Caps,AWC Logo Cap,17,7,9,0,119,119,,,,,
8/4/2015,4,August,2015,68,Seniors (64+),M,United States,Washington,Clothing,Caps,AWC Logo Cap,14,7,9,0,98,98,,,,,
6/4/2014,4,June,2014,65,Seniors (64+),M,United States,Washington,Clothing,Caps,AWC Logo Cap,16,7,9,0,112,112,,,,,
6/4/2016,4,June,2016,65,Seniors (64+),M,United States,Washington,Clothing,Caps,AWC Logo Cap,15,7,9,0,105,105,,,,,
6/2/2014,2,June,2014,62,Adults (35-64),M,France,Val de Marne,Clothing,Caps,AWC Logo Cap,4,7,9,0,28,28,,,,,
6/2/2016,2,June,2016,62,Adults (35-64),M,France,Val de Marne,Clothing,Caps,AWC Logo Cap,3,7,9,0,21,21,,,,,
7/6/2014,6,July,2014,61,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,4,7,9,0,28,28,,,,,
7/6/2016,6,July,2016,61,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,3,7,9,0,21,21,,,,,
1/21/2014,21,January,2014,59,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,15,7,9,0,105,105,,,,,
1/21/2016,21,January,2016,59,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,15,7,9,0,105,105,,,,,
4/22/2014,22,April,2014,59,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,13,7,9,0,91,91,,,,,
4/22/2016,22,April,2016,59,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,14,7,9,0,98,98,,,,,
11/3/2013,3,November,2013,55,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,7,7,9,0,49,49,,,,,
11/3/2015,3,November,2015,55,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,4,7,9,0,28,28,,,,,
12/5/2013,5,December,2013,55,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,13,7,9,0,91,91,,,,,
12/5/2015,5,December,2015,55,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,12,7,9,0,84,84,,,,,
2/15/2014,15,February,2014,54,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,5,7,9,0,35,35,,,,,
2/15/2016,15,February,2016,54,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,4,7,9,0,28,28,,,,,
5/26/2014,26,May,2014,54,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,17,7,9,0,119,119,,,,,
5/26/2016,26,May,2016,54,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,16,7,9,0,112,112,,,,,
4/3/2014,3,April,2014,54,Adults (35-64),F,Germany,Saarland,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
5/3/2014,3,May,2014,53,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,17,7,9,0,119,119,,,,,
5/3/2016,3,May,2016,53,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,18,7,9,0,126,126,,,,,
3/21/2014,21,March,2014,51,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,23,7,9,0,161,161,,,,,
3/21/2016,21,March,2016,51,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,20,7,9,0,140,140,,,,,
11/3/2013,3,November,2013,50,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,8,7,9,0,56,56,,,,,
11/3/2015,3,November,2015,50,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,7,7,9,0,49,49,,,,,
3/9/2016,9,March,2016,50,Adults (35-64),M,Germany,Saarland,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
2/24/2016,24,February,2016,49,Adults (35-64),F,Australia,Victoria,Clothing,Caps,AWC Logo Cap,3,7,9,0,21,21,,,,,
12/25/2013,25,December,2013,49,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,21,7,9,0,147,147,,,,,
12/25/2015,25,December,2015,49,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,23,7,9,0,161,161,,,,,
11/3/2013,3,November,2013,49,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,11,7,9,0,77,77,,,,,
11/3/2015,3,November,2015,49,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,9,7,9,0,63,63,,,,,
5/11/2014,11,May,2014,49,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,18,7,9,0,126,126,,,,,
5/11/2016,11,May,2016,49,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,19,7,9,0,133,133,,,,,
7/18/2013,18,July,2013,48,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,14,7,9,0,98,98,,,,,
7/18/2015,18,July,2015,48,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,15,7,9,0,105,105,,,,,
8/2/2013,2,August,2013,48,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,22,7,9,0,154,154,,,,,
8/2/2015,2,August,2015,48,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,23,7,9,0,161,161,,,,,
5/8/2014,8,May,2014,48,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,3,7,9,0,21,21,,,,,
5/8/2016,8,May,2016,48,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
4/27/2014,27,April,2014,47,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,5,7,9,0,35,35,,,,,
4/27/2016,27,April,2016,47,Adults (35-64),M,United States,Washington,Clothing,Caps,AWC Logo Cap,6,7,9,0,42,42,,,,,
9/8/2013,8,September,2013,47,Adults (35-64),M,Australia,Victoria,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
9/8/2015,8,September,2015,47,Adults (35-64),M,Australia,Victoria,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
7/5/2013,5,July,2013,46,Adults (35-64),M,France,Seine Saint Denis,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
7/5/2015,5,July,2015,46,Adults (35-64),M,France,Seine Saint Denis,Clothing,Caps,AWC Logo Cap,1,7,9,0,7,7,,,,,
10/4/2013,4,October,2013,46,Adults (35-64),F,United States,Washington,Clothing,Caps,AWC Logo Cap,9,7,9,0,63,63,,,,,
